<html><head>
<meta http-equiv="content-type" content="text/html; charset=UTF-8"></head><body>oid,otype,morph_type,morph_qual
4126700,"Sy1",,
1673637,"Sy1",,
5214284,"Sy1",,
1334570,"Sy2","SB",C
5217383,"Sy1",,
1335448,"Sy1",,
1336217,"Sy1",,
1336226,"Sy1",,
1336781,"Sy1",,
1336793,"Sy1",,
1337406,"Sy1",,
1337415,"Sy1",,
5219142,"Sy1",,
1333768,"Sy1",,
5219440,"Sy1",,
7841615,"Sy1",,
5212215,"Sy1",,
374896,"Sy1",,
1452137,"Sy1",,
2838630,"Sy1",,
5210446,"Sy1",,
1089454,"Sy2","Sr...",D
12293284,"Sy1",,
425051,"Sy1",,
1107982,"Sy2","SBcr",D
615073,"Sy1",,
5206605,"Sy1",,
564060,"Sy1",,
517187,"Sy1",,
607565,"Sy1",,
5207564,"Sy1",,
12291576,"Sy2",,
2283571,"Sy1",,
2266817,"Sy1",,
1396679,"Sy1",,
5201215,"Sy1",,
2266815,"Sy1",,
1932705,"Sy1",,
1959204,"Sy1",,
1959550,"Sy1",,
2165969,"Sy1",,
2199074,"Sy1",,
2199097,"Sy1",,
2167153,"Sy1",,
1642665,"Sy2",,
1993172,"Sy1",,
2107285,"Sy1",,
1993546,"Sy1",,
2139134,"Sy1",,
2168299,"Sy1",,
2223544,"Sy1",,
2201553,"Sy1",,
1886236,"Sy1",,
1966465,"Sy1",,
1964545,"Sy1",,
1964272,"Sy1",,
1966783,"Sy1",,
1909798,"Sy1",,
1942297,"Sy1",,
5200289,"Sy1",,
5214702,"Sy1",,
5216535,"Sy1",,
13176381,"Sy1",,
10397954,"Sy1",,
7841492,"Sy1",,
8268205,"Sy2",,
7841490,"Sy1",,
5213415,"Sy1",,
1660523,"Sy1",,
1660510,"Sy1",,
10531527,"Sy2",,
601969,"Sy2",,
2287149,"Sy2","E",E
2198272,"Sy2","1",D
1693358,"Sy2",,
1910035,"Sy2",,
11032703,"Sy2",,
8268211,"Sy2",,
4046793,"Sy1",,
582833,"Sy1",,
2006016,"Sy1","Sd",D
5681514,"Sy2","Sa",E
563050,"Sy2","Sab",E
2632615,"Sy1","Sb",E
5776048,"Sy2",,
2695780,"Sy2","E",E
10475152,"Sy1",,
12254031,"Sy2","E+A",E
7840590,"Sy1",,
564055,"Sy1",,
1932322,"Sy1",,
1710121,"Sy2","Sb",E
1370315,"Sy1",,
564057,"Sy1",,
563854,"Sy1",,
1669279,"Sy2","SBb",D
8268147,"Sy2",,
1386808,"Sy2","S0",E
1725854,"Sy2","SBb",D
7842201,"Sy1",,
5412489,"Sy1",,
1725468,"Sy1","Sb",E
1800727,"Sy2","Sa",D
1800105,"Sy2","S0/a",E
362692,"Sy2",,
1821365,"Sy2","S0",D
1762369,"Sy1","Sab",E
12280154,"Sy2","E+A",E
7840996,"Sy1","S0+",E
611549,"Sy2","SA",C
1724521,"Sy1",,
445153,"Sy1",,
7841525,"Sy1",,
582830,"Sy1",,
7842270,"Sy1",,
773122,"Sy2",,
7840408,"Sy1",,
693154,"Sy1",,
10398013,"Sy1",,
2136960,"Sy1",,
2136973,"Sy1",,
1373433,"Sy1",,
7841738,"Sy1",,
13176492,"Sy1",,
1374211,"Sy1",,
603508,"Sy1",,
10398196,"Sy1",,
2728791,"Sy2","S",D
2167000,"Sy1",,
3052133,"Sy2","S...",D
507491,"Sy2","S",C
1765811,"Sy2","SABc",C
466298,"Sy2","SB",C
2719381,"Sy1","SB",D
1338324,"Sy1",,
10398206,"Sy1",,
1988776,"Sy1",,
1988564,"Sy1",,
3418237,"Sy1","3.0",D
2211323,"Sy1",,
2266215,"Sy2","S",D
983677,"Sy2","Sb",C
2229628,"Sy1","SA",C
1159595,"Sy2","2.2",D
394562,"Sy1",,
10475310,"Sy1",,
450720,"Sy1","Sa...",D
2161262,"Sy1",,
1107941,"Sy1","Sb",D
13176854,"Sy1",,
395434,"Sy1","SB",D
13176860,"Sy1",,
1787988,"Sy2","SA",C
1419947,"Sy1","3",D
2181604,"Sy1",,
1958250,"Sy1",,
655253,"Sy1",,
5222260,"Sy1",,
1398497,"Sy1",,
7841571,"Sy1",,
2210045,"Sy1",,
11064103,"Sy2",,
2174429,"Sy2","3.5",D
2210856,"Sy1",,
3483013,"Sy2","0.0",D
2915395,"Sy2","1.5",D
2780842,"Sy2","-4.9",D
833905,"Sy1",,
1372414,"Sy1","Sc",D
501219,"Sy2","-0.9",D
2109166,"Sy2","SA",C
2777396,"Sy2","S...",D
1931031,"Sy2",,
5022756,"Sy1",,
544727,"Sy2","4",D
1930075,"Sy1",,
7841985,"Sy1",,
1543918,"Sy2","S0a",D
416846,"Sy1","-4.2",D
1377974,"Sy1",,
2892815,"Sy2","SBb",D
1227135,"Sy1","0.6",D
1957114,"Sy2","E+A",E
2262700,"Sy2",,
343066,"Sy1","S",D
2619398,"Sy2","3",D
1105814,"Sy2","-2",D
725542,"Sy2",,
1927133,"Sy2",,
2254689,"Sy1",,
4057795,"Sy2","1",D
10122958,"Sy1",,
7846054,"Sy2","-3",D
1958343,"Sy2",,
1956095,"Sy1",,
736468,"Sy1",,
10479722,"Sy1",,
2249932,"Sy2",,
12281736,"Sy2",,
1539979,"Sy1","3",D
2230101,"Sy2",,
2288843,"Sy2",,
1301091,"Sy1",,
578057,"Sy2",,
3274501,"Sy1",,
7841123,"Sy1",,
1160815,"Sy1",,
497326,"Sy2","3",D
2830419,"Sy2","SA",C
2479835,"Sy2","6.0",D
1449365,"Sy2","3",D
1786937,"Sy1",,
1786677,"Sy1","SBc",D
1730981,"Sy2","2",D
10464541,"Sy1",,
338471,"Sy1",,
1370325,"Sy1",,
337933,"Sy1",,
337849,"Sy1",,
4495232,"Sy1",,
302925,"Sy2",,
626587,"Sy2",,
605284,"Sy1",,
10398305,"Sy1",,
466991,"Sy1",,
12294115,"Sy1",,
1452856,"Sy1",,
1956054,"Sy1",,
1645546,"Sy1",,
1786938,"Sy1",,
1370272,"Sy1",,
7841584,"Sy1",,
13520228,"Sy1",,
13523073,"Sy1",,
7841597,"Sy1",,
1958684,"Sy1",,
1932406,"Sy1",,
7841577,"Sy1",,
13585332,"Sy1",,
1932408,"Sy1",,
1389269,"Sy1",,
12291937,"Sy1",,
1787455,"Sy1",,
508671,"Sy1",,
12289946,"Sy1",,
7841510,"Sy1",,
1908524,"Sy2","S",D
1931427,"Sy1",,
490144,"Sy1","1.5",D
13176661,"Sy1",,
1908946,"Sy1",,
10605292,"Sy1",,
10584524,"Sy1",,
10584383,"Sy2",,
12295033,"Sy2",,
7841701,"Sy1",,
1989913,"Sy1",,
412553,"Sy1",,
1959601,"Sy1",,
412101,"Sy1",,
10398147,"Sy1",,
4909332,"Sy1",,
7841669,"Sy1",,
5807049,"Sy1",,
9041518,"Sy1",,
2309320,"Sy2","Sb",D
1452150,"Sy1",,
383325,"Sy1",,
3516485,"Sy1",,
1990221,"Sy1",,
7846550,"Sy2",,
564914,"Sy1",,
1452202,"Sy1",,
2047449,"Sy1","S",D
12302772,"Sy2",,
1371082,"Sy1",,
1371980,"Sy1",,
1372442,"Sy1","S",D
1372807,"Sy2",,
10055739,"Sy1",,
1373430,"Sy1",,
1374218,"Sy1",,
1375380,"Sy1",,
10055908,"Sy1",,
1375980,"Sy1",,
529058,"Sy1",,
1376389,"Sy1",,
7841145,"Sy1",,
1377954,"Sy1",,
2181485,"Sy1",,
1378269,"Sy1",,
1374239,"Sy1",,
1384717,"Sy1","Sb",D
138444,"Sy2","SB",D
1385463,"Sy1",,
2181481,"Sy1",,
1387285,"Sy1",,
1387931,"Sy1",,
1389462,"Sy1","5",D
1389815,"Sy2",,
1390360,"Sy1",,
1390401,"Sy1",,
1392079,"Sy2",,
1730982,"Sy2","SBab",D
1393448,"Sy1",,
1393811,"Sy1",,
1395290,"Sy2","SBb",D
1396811,"Sy1",,
7841210,"Sy2",,
7841144,"Sy1",,
1377963,"Sy1",,
2291937,"Sy1",,
1000485,"Sy1",,
11414187,"Sy2",,
564626,"Sy2",,
1375981,"Sy1",,
1374689,"Sy1",,
1376517,"Sy1",,
4495113,"Sy1",,
584683,"Sy1",,
8041124,"Sy2",,
1390386,"Sy1",,
12278339,"Sy1",,
10398331,"Sy1",,
585135,"Sy1","S",D
362533,"Sy1",,
362513,"Sy1",,
1385483,"Sy1",,
348114,"Sy1",,
1203971,"Sy1",,
11012781,"Sy2",,
584915,"Sy1",,
1806276,"Sy1","Irr",D
584920,"Sy1",,
8443921,"Sy1",,
8268463,"Sy2",,
1828184,"Sy2","S_AB",C
1063205,"Sy2",,
2595373,"Sy1",,
5391154,"Sy1",,
1840485,"Sy2","Sc",C
8358164,"Sy1",,
10267271,"Sy1",,
24717,"Sy2",,
595476,"Sy1",,
500696,"Sy1",,
1659856,"Sy1",,
1659909,"Sy1",,
584035,"Sy1",,
1825956,"Sy1",,
12307636,"Sy2",,
4909327,"Sy1",,
4116429,"Sy1",,
1907800,"Sy2","S...",D
7822759,"Sy1",,
13177207,"Sy1",,
10435229,"Sy1",,
1876427,"Sy2","Sb",D
4127883,"Sy1",,
4495154,"Sy1",,
10482125,"Sy1",,
1474843,"Sy1",,
615920,"Sy1",,
10398429,"Sy1",,
381477,"Sy1",,
1334797,"Sy1",,
7841312,"Sy1",,
11021748,"Sy1",,
1366083,"Sy1",,
584531,"Sy1",,
1366545,"Sy1",,
2063847,"Sy1",,
4045649,"Sy2",,
1375396,"Sy1",,
609881,"Sy1",,
1659948,"Sy1",,
1730444,"Sy1",,
565479,"Sy1",,
565480,"Sy1",,
4128828,"Sy1",,
632953,"Sy1",,
3465517,"Sy2","1.0",D
2943307,"Sy2",,
584360,"Sy1",,
1451882,"Sy1",,
1452388,"Sy2",,
1691995,"Sy1","Sb",D
1340722,"Sy1",,
509273,"Sy1",,
10398469,"Sy1",,
1328571,"Sy1",,
1038026,"Sy2",,
5319462,"Sy2",,
474117,"Sy2",,
4129819,"Sy1",,
10435303,"Sy1",,
8356428,"Sy2","Sbc",D
1786058,"Sy1",,
624129,"Sy1",,
