OType,ra,dec,rvz_redshift,rvz_radvel
Sy1,159.4969162,61.88635417,0.06969,20166.18489
Sy1,198.868924,36.3854132,0.15053,41764.33863
Sy1,157.462415,61.77854201,0.11679,32980.60087
Sy1,118.1859974,43.68480467,0.179832,49130.23952
Sy2,184.7400833,47.30371944,0.0016,479.2841989
Sy2,197.9102107,40.21195048,0.10656,30252.49601
Sy2,199.0463718,57.38695205,0.13477,37702.08685
Sy1,159.1414677,62.16101166,0.14886,41337.23746
Sy1,198.5144834,36.91087318,0.29673,76192.61751
Sy2,207.9287905,43.166631,0.09293,26570.30579
Sy2,208.4347059,25.08667548,0.13827,38610.36505
Sy2,181.2143984,2.759828681,0.16858,46330.2565
Sy2,216.265989,62.05318558,0.10872,30831.05122
Sy1,218.637098,32.66298848,0.12006,33846.23201
Sy1,148.1751339,58.69825778,0.14271,39757.53779
Sy2,220.6563369,33.03847614,0.057,16601.9046
Sy1,356.7379914,0.941424084,0.18,49171.77751
Sy2,224.1992694,26.33695088,0.062,18011.97221
Sy2,224.4994426,41.87378146,0.15434,42735.7801
Sy2,203.1163966,24.01695902,0.08597,24669.05556
Sy2,225.1716618,5.404972769,0.119,33565.96886
Sy2,225.9694869,24.87612467,0.122,34358.32504
Sy1,226.1482603,24.37095041,0.0629,18264.99637
Sy1,301.7413598,-34.54851575,0.025269776,7480
Sy1,146.7145734,59.02499363,0.23182,61614.35459
Sy1,145.5199517,23.68527168,0.0213,6317.588037
Sy1,351.4760418,21.8871866,0.1195,33698.20896
Sy2,128.3625191,40.03464583,0.20337,54873.91974
Sy1,147.8720633,59.13236662,0.33,83249.81796
Sy1,213.103459,-0.83216539,0.02601,7696.227442
Sy2,55.52333333,-6.910277778,0.233,61889.21913
Sy1,202.5444736,35.75417904,0.14522,40403.56203
Sy2,202.5344009,36.14344558,0.07269,21001.83255
Sy2,138.1685333,57.88138611,0.19497,52841.69672
Sy1,144.301364,50.14780488,0.275505,71545.4948
Sy1,150.3797954,59.6609362,0.30538,78053.86378
Sy1,181.3776839,16.82819712,0.21694,58116.2386
Sy2,132.0403,35.2589,0.056726,16524.4183
Sy2,232.3437379,36.36174036,0.09893,28197.91565
Sy1,214.1284076,1.618896719,0.05401,15755.13559
Sy1,131.1195504,16.28169706,0.14884,41332.11768
Sy1,143.5899235,31.6263173,0.12366,34795.64451
Sy1,324.1123389,8.658866024,0.09368,26774.33356
Sy1,325.4138994,0.649337846,0.1122,31760.3135
Sy2,171.7652245,12.94871168,0.15252,42272.24552
Sy1,219.175324,2.385689,0.02261,6701.697858
Sy2,195.3284167,33.82663611,0.1485,41245.06391
Sy2,201.2155292,-1.035022222,0.10672,30295.39854
Sy1,344.9356576,21.17574342,0.10133,28846.0112
Sy1,8.52314255,-8.990427729,0.45727,107841.4931
