OType,ra,dec,rvz_redshift,rvz_radvel,plx_value,u_,g_,r_,i_,z_
Sy2,206.329825,41.71235376,0.00873,2605.764564,0.2787,15.252,13.612,12.144,11.605,11.22
Sy1,207.4701705,2.079208765,0.03288,9695.208809,0.0325,16.804,15.61,14.954,14.611,14.338
Sy1,215.3739464,47.79013355,0.073,21088.03111,,15.1556,15.0614,15.0474,14.5565,14.7223
Sy2,237.1039432,-13.75756721,0.025350871,7503.69687,0.1093,,,,,
Sy1,267.2297083,-32.91447222,0.02,5935.902423,,,,,,
Sy2,270.030216,66.6151001,0.026555,7855.322987,,,,,,
Sy2,276.6349792,32.85834167,0.022,6522.901476,,,,,,
Sy1,295.0628966,-30.26435468,0.054411518,15869,,,,,,
Sy2,302.5725039,48.00590363,0.026,7693.307428,,,,,,
Sy2,304.5053918,-55.65877502,0.060252,17519.8564,,,,,,
Sy1,308.7735387,26.05830319,0.05,14615.32792,0.3627,,,,,
Sy2,306.733,-2.2774,0.029073,8589.219954,,,,,,
Sy1,317.2915406,-9.67076532,0.02651501,7843.652169,0.0141,,,,,
Sy1,319.8713667,33.549075,0.050591666,14783.80488,,,,,,
Sy1,323.9750838,47.47274759,0.02523,7468.376448,0.2281,,,,,
Sy1,334.9572566,26.22442543,0.08771,25145.70179,0.0124,,,,,
Sy1,350.1524283,64.51244141,0.0717,20726.36306,,,,,,
Sy2,191.9910125,-58.49999167,0.028,8276.714976,,,,,,
Sy1,276.0451044,18.76909182,0.07,20252.65848,0.4381,,,,,
Sy2,301.638825,56.34344444,0.043,12614.16302,,,,,,
Sy2,221.6665419,33.30122531,0.07046,20380.92172,,18.229,16.358,15.485,15.07,14.704
Sy2,330.5079042,-31.86988889,0.008626482,2575,,,,,,
Sy2,189.046834,62.150947,1.1396,192299.2816,,,,23.9524,23.006,22.334
Sy2,139.5010858,4.418378596,0.15637,43251.69261,1.585,19.54,18.192,17.103,16.7,16.458
Sy1,34.47318016,-19.97209209,0.467403353,109645.5877,,,16.9159,17.0855,17.2337,17.2795
Sy1,224.5195775,4.054485258,0.69886,145503.8364,0.0949,19.7985,19.264,18.9625,19.0592,18.8487
Sy1,227.4216175,18.76696142,0.3258,82373.95961,,19.2044,18.986,18.7127,18.6359,18.2045
Sy2,189.1247917,62.09508333,0.48,111858.3695,,,,21.3949,,20.2677
Sy1,189.139625,62.23838889,3.408,270444.8663,,,,25.257,25.017,25.1457
Sy1,185.4031013,34.59464074,0.29925,76736.7892,,18.174,18.419,18.425,18.532,17.898
Sy1,206.7386818,36.54760057,0.24655,65018.97785,,17.983,17.9316,17.564,17.343,17.185
Sy1,218.1871705,30.2431527,0.35456,88286.18597,,19.1445,18.8718,18.523,18.6623,18.0842
Sy1,235.0177076,35.84725837,0.16349,45051.99473,0.0199,17.107,17.161,16.991,16.701,16.9348
Sy1,189.1525875,62.22966667,0.959,175851.8931,,22.057,21.777,21.8522,21.379,21.1619
Sy1,220.5117801,43.61910598,0.23134,61502.43894,0.0325,17.16,17.189,17.208,16.854,16.991
Sy1,9.472592,-1.191035,0.080168795,23073.46919,,20.047,19.029,18.666,18.379,18.219
Sy1,11.611609,-1.202572,0.1193,33645.3216,,18.961,18.03,17.598,17.289,17.125
Sy1,220.2115295,52.07943794,0.31875,80894.07022,,17.584,17.0166,17.329,17.0616,16.848
Sy2,189.1847083,62.24805556,1.487,216344.8848,,,,24.188,24.71,23.1762
Sy2,140.5095232,13.50511435,0.079,22750.79952,,,,,,
Sy1,11.85832669,-1.183254633,0.141444519,39431.1465,,19.312,18.374,17.935,17.596,17.511
Sy1,192.5370764,10.75233163,0.19011,51657.05336,0.2826,19.681,19.106,18.539,18.107,17.908
Sy2,53.11509583,-27.69580833,0.66528,140884.456,,,,22.8026,21.616,21.3017
Sy2,151.3238374,45.85809913,0.06912,20007.11085,,17.998,16.08,15.242,14.816,14.507
Sy1,139.072767,1.110656,0.35691,88760.52994,,20.51,20.02,19.12,18.82,18.4
Sy2,258.495841,33.607137,0.03867,11368.98543,,19.046,17.523,16.727,16.224,15.843
Sy1,149.5413375,2.182675,0.8376,162800.0182,,21.35,21.4,21.43,21.67,21.06
Sy1,190.2921048,10.69548393,0.15621,43211.07189,0.3388,19.538,19.28,18.749,18.465,18.463
Sy2,53.04753125,-27.78054806,0.575,127528.8801,,,,22.7176,21.58,21.3006
Sy1,160.3853228,17.39946371,0.12361,34782.48386,1.2727,19.102,17.928,17.182,16.774,16.52
Sy2,254.542111,62.41564996,0.1194,33671.76673,,18.502,16.824,15.845,15.383,15.047
Sy1,14.488959,-1.205293,0.132691797,37161.11477,,20.106,18.964,18.434,18.077,17.903
Sy2,189.33275,62.16536111,2.647,257865.2285,,,,24.8364,,24.416
Sy2,189.3999167,62.30144444,0.634,136415.8627,,,,,,23.2
Sy2,189.4022083,62.22555556,0.853,164556.1492,,,,23.5242,,21.5987
Sy2,189.4341875,62.2329,0.5116,117266.7775,,,,22.1358,,20.7624
Sy2,189.4520833,62.22019444,0.911,170902.712,,,,24.0246,,21.8366
Sy2,173.2847348,23.982805,0.101,28756.99784,,,,,,
Sy2,149.8730988,-22.82631871,0.008039522,2400.5,,,,,,
Sy1,177.2194228,15.23772897,0.11338,32074.60941,0.2346,19.496,18.041,17.201,16.661,16.368
Sy2,177.6384613,30.33413656,0.134,37501.79449,,,,,,
Sy1,358.634949,-0.046996,0.02228,6604.985777,,19.196,18.286,17.883,17.675,17.581
Sy2,189.408078,62.219263,1.241,200228.0523,,,,25.2404,,22.7101
Sy1,181.2909934,22.55574828,0.104,29565.04122,,,,,,
Sy2,191.9850523,43.26091048,0.04051,11898.79758,,18.482,16.815,16.018,15.61,15.268
Sy1,159.4969162,61.88635417,0.06969,20166.18489,,17.313,15.944,15.295,14.916,14.684
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,11.673,9.635,8.708,8.373,7.921
Sy1,198.868924,36.3854132,0.15053,41764.33863,0.2022,19.112,18.649,18.175,17.84,17.667
Sy1,157.462415,61.77854201,0.11679,32980.60087,0.059,18.552,18.119,17.658,17.188,17.15
Sy1,118.1859974,43.68480467,0.179832,49130.23952,,21.4107,19.9744,18.9373,18.3037,18.2037
