otype,ra,dec,rvz_redshift,rvz_radvel,plx_value,dist,unit
Sy2,158.2310351,28.51174424,0.004747881,1420,,23.9,Mpc 
Sy2,158.2310351,28.51174424,0.004747881,1420,,22,Mpc 
Sy2,158.2310351,28.51174424,0.004747881,1420,,23.29,Mpc 
Sy1,214.4980835,25.1368342,0.01627,4837.948993,,75.01,Mpc 
Sy1,214.4980835,25.1368342,0.01627,4837.948993,,71.4,Mpc 
Sy2,218.1659566,36.30220353,0.01325,3945.936191,,60.86,Mpc 
Sy2,32.3368712,-10.13305661,0.01286,3830.543255,,54.3,Mpc 
Sy2,32.3368712,-10.13305661,0.01286,3830.543255,,51.13,Mpc 
Sy2,32.3368712,-10.13305661,0.01286,3830.543255,,55.8,Mpc 
Sy2,32.3368712,-10.13305661,0.01286,3830.543255,,56.3,Mpc 
Sy2,113.7593973,32.82212338,0.01547,4601.920252,,66.61,Mpc 
Sy2,113.7593973,32.82212338,0.01547,4601.920252,,63.97,Mpc 
Sy2,113.7593973,32.82212338,0.01547,4601.920252,,63.97,Mpc 
Sy1,193.0519379,-13.41479501,0.01422,4232.741497,,60.16,Mpc 
Sy1,213.158979,39.31023653,0.02583,7643.662602,1.1407,114.1,Mpc 
Sy1,359.7946982,-4.126961471,0.01857952,5518.264803,,77.98,Mpc 
Sy1,359.7946982,-4.126961471,0.01857952,5518.264803,,77.98,Mpc 
Sy2,352.1944224,3.511392661,0.017325276,5149,0.4889,72.3,Mpc 
Sy2,352.1944224,3.511392661,0.017325276,5149,0.4889,73.4,Mpc 
Sy2,352.1944224,3.511392661,0.017325276,5149,0.4889,57.28,Mpc 
Sy2,352.1944224,3.511392661,0.017325276,5149,0.4889,57.28,Mpc 
Sy2,195.3448963,-30.93502316,0.016,4758.310727,,71.86,Mpc 
Sy1,68.67306788,40.23930895,0.020613188,6116,0.2967,84.7,Mpc 
Sy2,352.2663256,3.533311504,0.017230236,5121,,73.1,Mpc 
Sy2,173.1676871,52.95035813,0.02646,7827.597131,1.5712,113.9,Mpc 
Sy1,51.29824747,-6.180981366,0.03379,9958.935481,,101.39,Mpc 
